stratum,article_count,share_of_unique_articles
semiconductors_ai__firm_event,5124,0.13437885185282317
big_tech_cloud__firm_event,4176,0.10951719073719546
autos_ev__firm_event,3630,0.09519813275287824
banks_finance__firm_event,2839,0.07445385644226482
semiconductors_ai__analyst_or_earnings,2570,0.06739922897380085
other_unclear__other_unclear,2112,0.05538800451076552
banks_finance__analyst_or_earnings,2034,0.0533424247987202
semiconductors_ai__market_roundup_or_advice,1715,0.04497652828407333
airlines_travel__firm_event,1586,0.04159345414492145
airlines_travel__analyst_or_earnings,1469,0.038525084576853476
all_other_strata,10876,0.2852272429257035
